temperature_2m_mean,temperature_2m_min,shortwave_radiation_sum,daylight_duration,sunshine_duration,et0_fao_evapotranspiration,rain_sum,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,month,apparent_temperature_max,datetime
26.3,22.8,16.8,40601.74,36354.61,3.6,3.0,3.0,18.5,56.2,1,34.1,2020-01-01
26.7,22.9,19.18,40613.83,36596.39,4.24,0.1,0.1,15.6,51.1,1,34.3,2020-01-02
25.8,21.8,19.77,40626.99,36371.84,4.38,0.0,0.0,17.6,39.2,1,32.6,2020-01-03
25.5,20.8,18.11,40641.2,36672.16,4.04,0.0,0.0,16.3,37.1,1,33.4,2020-01-04
26.1,22.7,19.31,40656.43,36598.13,4.5,0.0,0.0,21.3,46.4,1,31.1,2020-01-05
26.0,21.7,19.89,40672.65,36691.47,4.61,0.0,0.0,18.5,41.8,1,33.3,2020-01-06
26.3,21.6,17.06,40689.86,36592.36,3.9,12.1,12.1,18.0,44.6,1,35.6,2020-01-07
26.6,23.4,17.18,40708.0,36531.55,3.75,0.9,0.9,14.1,32.4,1,34.2,2020-01-08
25.8,21.9,17.86,40727.08,36871.41,4.03,0.0,0.0,18.1,39.2,1,33.4,2020-01-09
25.4,21.5,16.91,40747.06,36753.77,3.77,1.7,1.7,15.9,34.6,1,33.0,2020-01-10
26.0,21.1,16.7,40767.91,36882.62,3.85,0.3,0.3,16.2,36.0,1,33.0,2020-01-11
25.8,22.1,16.47,40789.62,36072.96,3.33,1.7,1.7,9.3,25.6,1,33.6,2020-01-12
25.8,22.6,15.04,40812.16,32214.02,3.13,3.6,3.6,9.4,24.5,1,34.2,2020-01-13
26.2,23.4,15.36,40835.5,36882.9,3.38,1.8,1.8,9.5,22.0,1,34.5,2020-01-14
26.2,23.2,17.26,40859.89,37125.16,3.84,0.2,0.2,16.8,37.8,1,32.6,2020-01-15
26.8,22.2,17.97,40885.4,36765.27,4.02,0.0,0.0,12.4,28.8,1,36.1,2020-01-16
26.5,23.9,13.5,40912.0,36565.52,2.79,1.3,1.3,9.6,33.8,1,33.5,2020-01-17
26.9,24.7,13.61,40939.63,36901.79,3.09,3.5,3.5,12.4,34.2,1,34.7,2020-01-18
26.3,23.5,14.5,40968.25,36145.89,3.24,2.4,2.4,10.1,22.7,1,33.3,2020-01-19
25.6,21.9,13.78,40997.8,35645.65,3.6,0.1,0.1,20.2,42.5,1,31.2,2020-01-20
25.5,22.1,16.86,41028.25,37665.02,4.44,0.0,0.0,24.0,50.8,1,29.2,2020-01-21
25.1,20.3,21.46,41059.54,37833.04,5.07,0.0,0.0,22.7,48.6,1,30.8,2020-01-22
25.5,21.8,19.25,41091.62,37733.83,4.65,0.0,0.0,21.3,45.4,1,31.1,2020-01-23
25.3,22.4,10.15,41124.46,20362.94,2.36,3.4,3.4,14.4,40.3,1,32.4,2020-01-24
26.1,23.2,14.26,41158.0,37371.58,3.19,1.9,1.9,18.4,40.7,1,31.9,2020-01-25
26.7,22.9,19.34,41192.2,37766.85,4.02,0.9,0.9,11.9,31.0,1,35.9,2020-01-26
26.7,23.3,21.58,41227.01,37866.71,4.58,0.0,0.0,12.8,31.3,1,35.8,2020-01-27
26.4,21.7,21.05,41262.39,37966.7,4.46,0.0,0.0,10.2,27.7,1,35.1,2020-01-28
26.2,22.1,21.07,41298.3,37998.38,4.42,0.3,0.3,11.9,29.5,1,34.0,2020-01-29
25.7,22.0,17.19,41334.7,37932.96,3.68,0.1,0.1,12.3,25.2,1,32.8,2020-01-30
24.9,21.1,18.01,41371.54,37466.99,3.8,1.0,1.0,10.4,28.4,1,32.8,2020-01-31
24.5,20.5,19.0,41408.77,38159.54,4.28,0.3,0.3,17.3,39.2,2,30.0,2020-02-01
24.3,20.3,17.09,41446.36,37523.38,4.01,0.1,0.1,19.5,42.8,2,29.9,2020-02-02
24.0,20.5,15.66,41484.28,35734.13,3.9,0.1,0.1,22.1,48.2,2,28.3,2020-02-03
24.4,18.7,18.33,41522.84,38317.88,4.4,0.0,0.0,18.5,40.7,2,29.9,2020-02-04
25.8,20.2,17.83,41562.2,38199.22,4.2,0.1,0.1,13.5,30.2,2,33.8,2020-02-05
26.5,22.2,16.78,41602.29,37959.04,4.07,0.5,0.5,20.8,45.4,2,33.1,2020-02-06
26.5,23.4,12.5,41643.07,32777.18,2.84,4.6,4.6,9.6,34.6,2,34.5,2020-02-07
26.7,23.8,15.06,41684.5,32535.67,3.41,2.7,2.7,15.5,41.0,2,34.0,2020-02-08
25.5,23.7,9.35,41726.51,15845.21,2.22,0.6,0.6,11.5,27.7,2,30.8,2020-02-09
25.3,22.7,19.51,41769.08,38242.01,4.61,0.0,0.0,23.4,49.7,2,30.2,2020-02-10
25.1,20.6,21.01,41812.14,38582.18,5.08,0.0,0.0,21.7,47.2,2,30.4,2020-02-11
25.1,19.6,22.24,41855.66,38769.09,5.25,0.0,0.0,23.1,49.3,2,31.2,2020-02-12
25.3,20.3,17.29,41899.59,38466.67,4.06,0.9,0.9,19.6,43.6,2,31.3,2020-02-13
26.4,21.3,18.54,41943.89,38738.11,4.65,0.0,0.0,22.4,49.3,2,32.0,2020-02-14
26.8,22.1,21.37,41988.5,38846.8,5.34,0.0,0.0,24.1,51.5,2,32.8,2020-02-15
27.0,21.5,19.94,42033.39,39043.36,4.75,0.0,0.0,15.6,37.1,2,35.9,2020-02-16
26.7,22.1,18.19,42078.51,38982.29,4.07,2.5,2.5,12.4,27.0,2,35.6,2020-02-17
26.2,22.6,19.63,42123.83,38651.97,4.62,0.0,0.0,20.2,44.6,2,32.3,2020-02-18
25.3,20.7,22.84,42169.29,39119.89,5.51,0.0,0.0,21.7,47.9,2,31.6,2020-02-19
25.5,22.4,24.19,42214.86,39326.28,5.8,0.0,0.0,20.9,47.2,2,30.9,2020-02-20
25.3,20.4,20.54,42260.51,38519.23,5.15,0.0,0.0,27.5,58.7,2,30.6,2020-02-21
25.4,20.2,24.13,42306.18,39376.9,5.74,0.0,0.0,22.9,50.0,2,31.9,2020-02-22
26.0,20.8,20.48,42351.84,38925.41,4.98,0.0,0.0,23.7,51.5,2,32.5,2020-02-23
26.8,23.3,20.33,42397.82,39424.01,4.78,0.2,0.2,20.2,53.6,2,33.4,2020-02-24
